team_slug,team_name,scope,competition_name,competition_family,year,season_label,title_type,source_name,source_url,confidence,notes
flamengo,Flamengo,mundial,Mundial,mundial_clubes,1981,1981,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,continental,Libertadores,libertadores,1981,1981,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,continental,Libertadores,libertadores,2019,2019,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,continental,Libertadores,libertadores,2022,2022,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,continental,Libertadores,libertadores,2025,2025,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,continental,Recopa Sul-Americana,recopa_sul_americana,2020,2020,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,1980,1980,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,1982,1982,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,1983,1983,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,1987,1987,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,fonte_oficial_lista_como_brasileiro
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,1992,1992,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,2009,2009,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,2019,2019,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,2020,2020,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Brasileirão Série A,brasileirao_serie_a,2025,2025,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Copa do Brasil,copa_do_brasil,1990,1990,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Copa do Brasil,copa_do_brasil,2006,2006,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Copa do Brasil,copa_do_brasil,2013,2013,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Copa do Brasil,copa_do_brasil,2022,2022,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Copa do Brasil,copa_do_brasil,2024,2024,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Supercopa do Brasil,supercopa_do_brasil,2020,2020,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Supercopa do Brasil,supercopa_do_brasil,2021,2021,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,nacional,Supercopa do Brasil,supercopa_do_brasil,2025,2025,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1914,1914,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1915,1915,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1920,1920,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1921,1921,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1925,1925,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1927,1927,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1939,1939,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1942,1942,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1943,1943,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1944,1944,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1953,1953,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1954,1954,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1955,1955,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1963,1963,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1965,1965,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1972,1972,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1974,1974,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1978,1978,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1979,1979,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1979,1979 Especial,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,edicao_especial
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1981,1981,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1986,1986,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1991,1991,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1996,1996,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,1999,1999,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2000,2000,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2001,2001,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2004,2004,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2007,2007,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2008,2008,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2009,2009,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2011,2011,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2014,2014,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2017,2017,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2019,2019,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2020,2020,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2021,2021,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2024,2024,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
flamengo,Flamengo,estadual,Campeonato Carioca,campeonato_carioca,2025,2025,champion,flamengo_official,https://www.flamengo.com.br/titulosdoflamengo,high,
